0,1,2,high_level_substr
1.2749885,-0.49612442,-0.24896173,multiple_substrates
7.949552,-5.298858,7.885175,O-antigen
10.37402,-9.344196,8.854804,O-antigen
-0.2140427,-5.584742,-1.0104142,host glycan
0.4155694,11.80259,4.491756,host glycan
4.0584044,-4.2805886,-3.7744563,glycoprotein
-7.6563373,1.4507997,-8.704141,galactan
-0.34552205,9.375016,2.455313,host glycan
-1.9576784,-1.7263336,1.8801858,host glycan
5.9985943,17.333261,1.6991706,alpha-glucan
3.0764735,-4.9697113,-4.0824504,glycoprotein
-0.9934784,9.404225,4.181775,glycoprotein
-0.035137348,4.797098,1.3003333,glycoprotein
4.138564,-2.440134,-3.0424244,multiple_substrates
3.0551517,10.409346,1.296005,multiple_substrates
-6.874032,-6.068177,-5.992348,multiple_substrates
2.641034,3.2263045,0.36579293,multiple_substrates
4.57222,11.924949,0.24391682,beta-glucan 
-2.851602,6.644255,2.7894099,multiple_substrates
0.27913946,9.9093275,4.542714,pectin
-0.6846321,9.337879,-0.3758315,hemicellulose
2.064662,10.149689,0.19645411,hemicellulose
2.090716,1.6116604,1.3665726,pectin
0.6657594,10.334646,2.3867216,pectin
3.1131358,1.8501624,-0.9597965,pectin
2.9847736,12.251682,0.32414824,alpha-glucan
-5.1211977,1.5029421,-5.098124,mono/di/trisaccharide
-2.6127164,-1.9002031,0.7557564,chitin
-0.89306736,8.585841,2.0182636,beta-mannan
0.356594,-9.258471,4.1599345,capsule polysaccharide
4.013003,-4.688144,8.2072115,capsule polysaccharide
5.9946933,-1.0035055,9.02484,capsule polysaccharide
4.2275195,-4.484722,8.805749,capsule polysaccharide
7.192976,-7.9757867,8.258538,capsule polysaccharide
5.0129576,-5.2602224,7.8920875,capsule polysaccharide
8.406218,-8.027972,9.963553,capsule polysaccharide
7.1516123,-8.410554,9.487789,capsule polysaccharide
5.3169427,1.6511326,0.59253603,chitin
8.620031,-7.4895597,7.649393,capsule polysaccharide
9.4057045,-8.435443,9.785941,capsule polysaccharide
10.129034,-8.759654,6.8917723,O-glycan
7.5916505,-4.946812,9.808852,capsule polysaccharide
8.311892,-7.206766,9.212298,capsule polysaccharide
7.9525075,-7.918704,6.6882343,capsule polysaccharide
7.3469286,-6.799267,10.185224,capsule polysaccharide
9.49479,-7.617827,8.070263,capsule polysaccharide
8.006254,-5.8992195,10.562937,capsule polysaccharide
-3.7788217,-5.9694886,0.984342,capsule polysaccharide
-6.293165,-5.010309,-8.335619,multiple_substrates
7.0280404,-8.750621,8.090009,capsule polysaccharide
8.27544,-8.87529,8.019106,capsule polysaccharide
9.056599,-7.360141,10.280341,capsule polysaccharide
10.129034,-8.759654,6.8917723,O-glycan
7.6012483,-7.3772345,10.6851225,capsule polysaccharide
8.311892,-7.206766,9.212298,capsule polysaccharide
5.9946933,-1.0035055,9.02484,capsule polysaccharide
7.7389464,-5.511692,8.615498,capsule polysaccharide
8.119528,-6.404343,10.561337,capsule polysaccharide
7.568863,-8.197042,7.1127286,capsule polysaccharide
-5.263155,-5.1414714,-7.39522,mono/di/trisaccharide
-3.64559,3.8590567,-7.4827876,multiple_substrates
4.437417,-5.216551,8.371659,capsule polysaccharide
7.6844606,-8.444332,9.2208395,capsule polysaccharide
9.247162,-7.8363843,7.215771,capsule polysaccharide
9.328756,-8.303928,9.2594595,capsule polysaccharide
10.437977,-8.329737,7.347851,O-glycan
0.52792674,13.6514015,-2.0780985,beta-glucan 
2.1930797,8.315857,1.5734634,xyloglucan
2.5788276,10.289462,-0.7004923,beta-glucan 
0.45433623,-7.179198,-0.68465227,pectin
1.7459626,1.6805387,0.7121564,pectin
-8.8607645,4.2818594,-1.5340595,mono/di/trisaccharide
1.392162,2.5142775,-1.6389936,multiple_substrates
2.968399,8.692235,-2.934512,multiple_substrates
1.3706288,12.588848,0.34001532,pectin
2.9353724,8.795401,-3.3161001,galactan
1.3429823,9.770928,-3.5284529,multiple_substrates
3.0656462,9.168557,0.14969842,beta-glucan 
0.5445693,2.7540574,0.49559587,multiple_substrates
-0.16110387,3.4621491,2.5987852,multiple_substrates
0.5430285,13.594182,-0.49063376,alpha-glucan
-2.5970848,-3.1002786,1.8309892,multiple_substrates
-3.5059931,-1.6825824,-3.1713028,xylan
1.9500861,10.864964,2.2395766,multiple_substrates
